app_name,vuln_name,vuln_desc,severity,grade,app_context
dev-internal-gateway.dopapp.pl/,Clickjacking: X-Frame-Options header missing,"Description: Clickjacking (User Interface redress attack, UI redress attack, UI redressing) is a malicious technique of tricking a Web user into clicking on something different from what the user perceives they are clicking on, thus potentially revealing confidential information or taking control of their computer while clicking on seemingly innocuous web pages. <br/><br/>The server didn't return an <strong>X-Frame-Options</strong> header which means that this website could be at risk of a clickjacking attack. The X-Frame-Options HTTP response header can be used to indicate whether or not a browser should be allowed to render a page inside a frame or iframe. Sites can use this to avoid clickjacking attacks, by ensuring that their content is not embedded into other sites.Impact: The impact depends on the affected web application. Request: GET / HTTP/1.1Accept: text/html,application/xhtml+xml,application/xml;q=0.9,*/*;q=0.8Accept-Encoding: gzip,deflateHost: dev-internal-gateway.dopapp.plUser-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/73.0.3683.103 Safari/537.36Proxy-Connection: Keep-aliveContent-Type: application/jsonapikey: 67907533-6d85-44c3-9833-2a8096304060Authorization: Basic cWEtc3lzLXRlc3Q6PDlEOyw9cChBYmNufjgjeA==",Low,0,type webapp client customer domain Internet
dev-internal-gateway.dopapp.pl/,Clickjacking: X-Frame-Options header missing,"Description: Clickjacking (User Interface redress attack, UI redress attack, UI redressing) is a malicious technique of tricking a Web user into clicking on something different from what the user perceives they are clicking on, thus potentially revealing confidential information or taking control of their computer while clicking on seemingly innocuous web pages. <br/><br/>The server didn't return an <strong>X-Frame-Options</strong> header which means that this website could be at risk of a clickjacking attack. The X-Frame-Options HTTP response header can be used to indicate whether or not a browser should be allowed to render a page inside a frame or iframe. Sites can use this to avoid clickjacking attacks, by ensuring that their content is not embedded into other sites.Impact: The impact depends on the affected web application. Request: GET / HTTP/1.1Accept: text/html,application/xhtml+xml,application/xml;q=0.9,*/*;q=0.8Accept-Encoding: gzip,deflateHost: dev-internal-gateway.dopapp.plUser-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/73.0.3683.103 Safari/537.36Proxy-Connection: Keep-aliveAuthorization: Basic cWEtc3lzLXRlc3Q6PDlEOyw9cChBYmNufjgjeA==Content-Type: application/json",Low,0,type webapp client customer domain Internet
dev-internal-gateway.dopapp.pl/,Clickjacking: X-Frame-Options header missing,"Description: Clickjacking (User Interface redress attack, UI redress attack, UI redressing) is a malicious technique of tricking a Web user into clicking on something different from what the user perceives they are clicking on, thus potentially revealing confidential information or taking control of their computer while clicking on seemingly innocuous web pages. <br/><br/>The server didn't return an <strong>X-Frame-Options</strong> header which means that this website could be at risk of a clickjacking attack. The X-Frame-Options HTTP response header can be used to indicate whether or not a browser should be allowed to render a page inside a frame or iframe. Sites can use this to avoid clickjacking attacks, by ensuring that their content is not embedded into other sites.Impact: The impact depends on the affected web application. Request: GET / HTTP/1.1Accept: text/html,application/xhtml+xml,application/xml;q=0.9,*/*;q=0.8Accept-Encoding: gzip,deflateHost: dev-internal-gateway.dopapp.plUser-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/73.0.3683.103 Safari/537.36Proxy-Connection: Keep-aliveContent-Type: application/jsonAuthorization: Basic cWEtc3lzLXRlc3Q6PDlEOyw9cChBYmNufjgjeA==",Low,0,type webapp client customer domain Internet
dev-internal-gateway.dopapp.pl/,Clickjacking: X-Frame-Options header missing,"Description: Clickjacking (User Interface redress attack, UI redress attack, UI redressing) is a malicious technique of tricking a Web user into clicking on something different from what the user perceives they are clicking on, thus potentially revealing confidential information or taking control of their computer while clicking on seemingly innocuous web pages. <br/><br/>The server didn't return an <strong>X-Frame-Options</strong> header which means that this website could be at risk of a clickjacking attack. The X-Frame-Options HTTP response header can be used to indicate whether or not a browser should be allowed to render a page inside a frame or iframe. Sites can use this to avoid clickjacking attacks, by ensuring that their content is not embedded into other sites.Impact: The impact depends on the affected web application. Request: GET / HTTP/1.1Accept: text/html,application/xhtml+xml,application/xml;q=0.9,*/*;q=0.8Accept-Encoding: gzip,deflateHost: dev-internal-gateway.dopapp.plUser-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/73.0.3683.103 Safari/537.36Proxy-Connection: Keep-aliveAuthorization: Basic cWEtc3lzLXRlc3Q6PDlEOyw9cChBYmNufjgjeA==Content-Type: application/json",Low,0,type webapp client customer domain Internet
dev-internal-gateway.dopapp.pl/,Clickjacking: X-Frame-Options header missing,"Description: Clickjacking (User Interface redress attack, UI redress attack, UI redressing) is a malicious technique of tricking a Web user into clicking on something different from what the user perceives they are clicking on, thus potentially revealing confidential information or taking control of their computer while clicking on seemingly innocuous web pages. <br/><br/>The server didn't return an <strong>X-Frame-Options</strong> header which means that this website could be at risk of a clickjacking attack. The X-Frame-Options HTTP response header can be used to indicate whether or not a browser should be allowed to render a page inside a frame or iframe. Sites can use this to avoid clickjacking attacks, by ensuring that their content is not embedded into other sites.Impact: The impact depends on the affected web application. Request: GET / HTTP/1.1Accept: text/html,application/xhtml+xml,application/xml;q=0.9,*/*;q=0.8Accept-Encoding: gzip,deflateHost: dev-internal-gateway.dopapp.plUser-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/73.0.3683.103 Safari/537.36Proxy-Connection: Keep-aliveContent-Type: application/jsonAuthorization: Basic cWEtc3lzLXRlc3Q6PDlEOyw9cChBYmNufjgjeA==",Low,0,type webapp client customer domain Internet
dev-internal-gateway.dopapp.pl/,Clickjacking: X-Frame-Options header missing,"Description: Clickjacking (User Interface redress attack, UI redress attack, UI redressing) is a malicious technique of tricking a Web user into clicking on something different from what the user perceives they are clicking on, thus potentially revealing confidential information or taking control of their computer while clicking on seemingly innocuous web pages. <br/><br/>The server didn't return an <strong>X-Frame-Options</strong> header which means that this website could be at risk of a clickjacking attack. The X-Frame-Options HTTP response header can be used to indicate whether or not a browser should be allowed to render a page inside a frame or iframe. Sites can use this to avoid clickjacking attacks, by ensuring that their content is not embedded into other sites.Impact: The impact depends on the affected web application. Request: GET / HTTP/1.1Accept: text/html,application/xhtml+xml,application/xml;q=0.9,*/*;q=0.8Accept-Encoding: gzip,deflateHost: dev-internal-gateway.dopapp.plUser-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/73.0.3683.103 Safari/537.36Proxy-Connection: Keep-aliveContent-Type: application/jsonapikey: 67907533-6d85-44c3-9833-2a8096304060Authorization: Basic cWEtc3lzLXRlc3Q6PDlEOyw9cChBYmNufjgjeA==",Low,0,type webapp client customer domain Internet
dev-internal-gateway.dopapp.pl/,Clickjacking: X-Frame-Options header missing,"Description: Clickjacking (User Interface redress attack, UI redress attack, UI redressing) is a malicious technique of tricking a Web user into clicking on something different from what the user perceives they are clicking on, thus potentially revealing confidential information or taking control of their computer while clicking on seemingly innocuous web pages. <br/><br/>The server didn't return an <strong>X-Frame-Options</strong> header which means that this website could be at risk of a clickjacking attack. The X-Frame-Options HTTP response header can be used to indicate whether or not a browser should be allowed to render a page inside a frame or iframe. Sites can use this to avoid clickjacking attacks, by ensuring that their content is not embedded into other sites.Impact: The impact depends on the affected web application. Request: GET / HTTP/1.1Accept: text/html,application/xhtml+xml,application/xml;q=0.9,*/*;q=0.8Accept-Encoding: gzip,deflateHost: dev-internal-gateway.dopapp.plUser-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/73.0.3683.103 Safari/537.36Proxy-Connection: Keep-aliveContent-Type: application/jsonAuthorization: Basic cWEtc3lzLXRlc3Q6PDlEOyw9cChBYmNufjgjeA==",Low,0,type webapp client customer domain Internet
int-head-enrich.dopapp.pl/,Clickjacking: X-Frame-Options header missing,"Description: Clickjacking (User Interface redress attack, UI redress attack, UI redressing) is a malicious technique of tricking a Web user into clicking on something different from what the user perceives they are clicking on, thus potentially revealing confidential information or taking control of their computer while clicking on seemingly innocuous web pages. <br/><br/>The server didn't return an <strong>X-Frame-Options</strong> header which means that this website could be at risk of a clickjacking attack. The X-Frame-Options HTTP response header can be used to indicate whether or not a browser should be allowed to render a page inside a frame or iframe. Sites can use this to avoid clickjacking attacks, by ensuring that their content is not embedded into other sites.Impact: The impact depends on the affected web application. Request: GET / HTTP/1.1Accept: text/html,application/xhtml+xml,application/xml;q=0.9,*/*;q=0.8Accept-Encoding: gzip,deflateHost: int-head-enrich.dopapp.plUser-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/73.0.3683.103 Safari/537.36Proxy-Connection: Keep-aliveContent-Type: application/json",Low,0,type webapp client customer domain Internet
dev-internal-gateway.dopapp.pl/,Clickjacking: X-Frame-Options header missing,"Description: Clickjacking (User Interface redress attack, UI redress attack, UI redressing) is a malicious technique of tricking a Web user into clicking on something different from what the user perceives they are clicking on, thus potentially revealing confidential information or taking control of their computer while clicking on seemingly innocuous web pages. <br/><br/>The server didn't return an <strong>X-Frame-Options</strong> header which means that this website could be at risk of a clickjacking attack. The X-Frame-Options HTTP response header can be used to indicate whether or not a browser should be allowed to render a page inside a frame or iframe. Sites can use this to avoid clickjacking attacks, by ensuring that their content is not embedded into other sites.Impact: The impact depends on the affected web application. Request: GET / HTTP/1.1Accept: text/html,application/xhtml+xml,application/xml;q=0.9,*/*;q=0.8Accept-Encoding: gzip,deflateHost: dev-internal-gateway.dopapp.plUser-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/73.0.3683.103 Safari/537.36Proxy-Connection: Keep-aliveAuthorization: Basic YW5hbHl0aWNzOno1ezlHKGEsYEhlZkpDQE4Kapikey: d6b0ec7b-f7b2-4032-8f9b-399a51b6f381Content-Type: application/json",Low,0,type webapp client customer domain Internet
confirmation.dockerpregl.k9s.omnitest.corpnet.pl/,Clickjacking: X-Frame-Options header missing,"Description: Clickjacking (User Interface redress attack, UI redress attack, UI redressing) is a malicious technique of tricking a Web user into clicking on something different from what the user perceives they are clicking on, thus potentially revealing confidential information or taking control of their computer while clicking on seemingly innocuous web pages. <br/><br/>The server didn't return an <strong>X-Frame-Options</strong> header which means that this website could be at risk of a clickjacking attack. The X-Frame-Options HTTP response header can be used to indicate whether or not a browser should be allowed to render a page inside a frame or iframe. Sites can use this to avoid clickjacking attacks, by ensuring that their content is not embedded into other sites.Impact: The impact depends on the affected web application. Request: GET / HTTP/1.1Accept: text/html,application/xhtml+xml,application/xml;q=0.9,*/*;q=0.8Accept-Encoding: gzip,deflateHost: confirmation.dockerpregl.k9s.omnitest.corpnet.plUser-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/73.0.3683.103 Safari/537.36Connection: Keep-alive: ",Low,0,type webapp client employe domain LANWANCPDF0TP
